number,value,state,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_n_estimators,param_reg_alpha,param_reg_lambda
0,0.36438923395445133,TrialState.COMPLETE,0.01409740729808148,8,83,53,0.9426425965341902,0.8608162416472742,353,0.08564582060376036,0.34031893265335983
1,0.3652173913043478,TrialState.COMPLETE,0.020203294646928674,6,49,19,0.9017222626744155,0.7012348905412691,252,0.4947617028106891,0.48657500687182653
2,0.3527950310559006,TrialState.COMPLETE,0.019752894006126988,7,33,32,0.6761914890181048,0.7740923057456038,434,0.45951949638196526,0.2894816306463029
3,0.35196687370600416,TrialState.COMPLETE,0.06729570136243399,6,31,30,0.9077104987508544,0.6671774230536641,294,0.1849034451331934,0.3679247210522697
4,0.3590062111801242,TrialState.COMPLETE,0.014036302361448032,8,17,17,0.6633960889859789,0.9098743284487011,457,0.3516127066873089,0.057085113836321255
5,0.3565217391304348,TrialState.COMPLETE,0.041127440474673906,8,23,56,0.8359139550853458,0.9252831588897266,495,0.23881443889497622,0.39303640148960706
6,0.3349896480331263,TrialState.COMPLETE,0.09144835632624863,8,112,40,0.816346664562452,0.6611194154176242,275,0.3722183587702002,0.2953423409099991
7,0.34285714285714286,TrialState.COMPLETE,0.0363615080831841,6,50,23,0.6789069855895828,0.8431955774488057,488,0.3065354363423267,0.014942771171901237
8,0.32546583850931676,TrialState.COMPLETE,0.061008578106573466,8,71,10,0.9068952905266612,0.8453595353818204,467,0.21141463265238386,0.4701308016130925
9,0.3296066252587992,TrialState.COMPLETE,0.07302104868098476,10,71,51,0.9898149364424096,0.9722860875856806,368,0.0071394489190205745,0.058877246092978175
10,0.3432712215320911,TrialState.COMPLETE,0.023102047108458403,4,112,41,0.7565746894955019,0.7410957549193989,167,0.46476715264682256,0.48679089630517175
11,0.3412008281573499,TrialState.COMPLETE,0.011184029732318081,4,93,48,0.9943837282942285,0.6069148049545899,218,0.10750612607167466,0.2010942584313219
12,0.3581780538302277,TrialState.COMPLETE,0.017084163415966278,10,53,60,0.9085212283671277,0.7496212293954276,363,0.4993811224375222,0.4171085319344615
13,0.3515527950310559,TrialState.COMPLETE,0.011081637175085448,6,89,24,0.8724707369980403,0.8162951223010884,246,0.12193175695576589,0.4929835699712757
14,0.33581780538302275,TrialState.COMPLETE,0.02507149216933983,5,58,42,0.9495246297418418,0.7268958825985086,342,0.4089003082792115,0.35005819776169145
15,0.34824016563147,TrialState.COMPLETE,0.01564815966503932,9,93,10,0.9463245180017427,0.8761041380730297,414,0.2823928044112507,0.4294590253877671
16,0.3536231884057971,TrialState.COMPLETE,0.025713295107277778,7,125,23,0.8485973909191787,0.7799253198040111,197,0.32467105906324706,0.20812849814212117
17,0.336231884057971,TrialState.COMPLETE,0.014029028197583907,5,41,49,0.8083932133555924,0.8033331832369656,318,0.4211801396665211,0.42675484798835683
18,0.3486542443064182,TrialState.COMPLETE,0.019934547099449192,9,85,34,0.7778307759136237,0.7159612086306176,390,0.2615081260719418,0.31380397408557037
19,0.3349896480331263,TrialState.COMPLETE,0.010140406127317968,5,65,18,0.8724612437572972,0.8232981213566913,264,0.38141464585320695,0.3593930552229961
20,0.34782608695652173,TrialState.COMPLETE,0.031623772065660985,7,81,28,0.9309521377356595,0.9856615311508102,314,0.32889281791270836,0.45069860755012503
21,0.3598343685300207,TrialState.COMPLETE,0.014179986056649798,9,18,16,0.6296759202833,0.8919709237171418,423,0.36129853643690074,0.13371775032342217
22,0.36024844720496896,TrialState.COMPLETE,0.01276866283696505,9,42,15,0.6007037904608358,0.8764298108040487,409,0.41567106922031777,0.23276971258904877
23,0.35196687370600416,TrialState.COMPLETE,0.017820119666131232,9,47,15,0.6049522391887583,0.8630272936533663,383,0.49980877166250265,0.2576303369628349
24,0.35320910973084885,TrialState.COMPLETE,0.012238106977731927,10,39,25,0.7467204984131516,0.9422660909865084,343,0.43595053106820725,0.39169812332103604
25,0.34699792960662523,TrialState.COMPLETE,0.012730217875007084,8,61,19,0.7098244366021275,0.8800898756529457,233,0.401149145846534,0.33863097775132145
26,0.34782608695652173,TrialState.COMPLETE,0.015878880565841785,6,78,36,0.7771304844721383,0.8428823185650404,400,0.44746623984917466,0.22678817880713212
27,0.3287784679089027,TrialState.COMPLETE,0.010318857181498274,7,104,13,0.7214599221613809,0.9063953928709062,291,0.3983852179662639,0.498041258327378
28,0.34285714285714286,TrialState.COMPLETE,0.012832856377508962,9,42,20,0.8720443371099463,0.7883744553632057,151,0.4537396029810063,0.25865144477997976
29,0.3490683229813665,TrialState.COMPLETE,0.02013649366752726,8,30,45,0.9686506188305737,0.7662767255395113,342,0.4632448115795276,0.3165749767335316
