feature,gain_importance,split_importance,mean_abs_shap,low_importance_flag
High_Low_Ratio,240704.48186135292,2224,0.7784786465758576,False
Volatility_5,89665.4850064516,2446,0.09698816885775675,False
MACD,49102.944860219955,2380,0.0397418117554698,False
ApiCode,35618.51417994499,1793,0.03956820467823179,False
Volume,22473.602559149265,1406,0.03311075938916474,False
Returns_3d,54706.659244060516,2772,0.03305708238769795,False
TurnoverValue,26822.704959630966,1677,0.015482878131133923,False
Close_gap_prev,34974.0380821228,2077,0.015145876026147068,False
Returns,48095.278440237045,2513,0.013930211047816294,False
Close_raw,9987.572448253632,620,0.012972599613885355,False
MA_5,13669.416125297546,814,0.012941546836649132,False
Open,11938.262560844421,760,0.010694908156779686,False
Volume_raw,21991.81399154663,1383,0.01014844093532962,False
Low,8433.072436332703,497,0.009078925727215723,False
AdjustmentVolume,5774.702784061432,349,0.008780929377723392,False
High,9036.402419447899,565,0.0072615487465523135,False
Close,8836.476552963257,548,0.005964047092342226,False
Low_raw,8076.853827953339,480,0.005433040770465194,False
AdjustmentOpen,8380.21909916401,487,0.003894892848455086,False
AdjustmentClose,2548.679488182068,153,0.0035828754380895136,False
High_raw,8804.801155090332,541,0.0033674300009947948,False
AdjustmentLow,2033.4363045692444,126,0.0028588895229276472,False
AdjustmentHigh,1702.754373550415,106,0.001438753062071064,False
AdjustmentFactor,85.50069069862366,15,1.6293231785717384e-05,True
TargetReturn,0.0,0,0.0,True
