Code,min,max,days_available,Name,sector,missing
13010,2025-09-19,2025-10-17,29,極洋,水産・農林業,False
13320,2025-09-19,2025-10-17,29,日本水産,水産・農林業,False
16050,2025-09-19,2025-10-17,29,INPEX,鉱業,False
18010,2025-09-19,2025-10-17,29,大成建設,建設業,False
18020,2025-09-19,2025-10-17,29,大林組,建設業,False
18030,2025-09-19,2025-10-17,29,清水建設,建設業,False
18080,2025-09-19,2025-10-17,29,長谷工コーポレーション,建設業,False
18120,2025-09-19,2025-10-17,29,鹿島建設,建設業,False
19250,2025-09-19,2025-10-17,29,大和ハウス工業,建設業,False
19280,2025-09-19,2025-10-17,29,積水ハウス,建設業,False
19630,2025-09-19,2025-10-17,29,日揮ホールディングス,建設業,False
20020,2025-09-19,2025-10-17,29,日清製粉グループ本社,食料品,False
22690,2025-09-19,2025-10-17,29,明治ホールディングス,食料品,False
22820,2025-09-19,2025-10-17,29,日本ハム,食料品,False
25010,2025-09-19,2025-10-17,29,サッポロホールディングス,食料品,False
25020,2025-09-19,2025-10-17,29,アサヒグループホールディングス,食料品,False
25030,2025-09-19,2025-10-17,29,キリンホールディングス,食料品,False
25310,2025-09-19,2025-10-17,29,宝ホールディングス,食料品,False
28010,2025-09-19,2025-10-17,29,キッコーマン,食料品,False
28020,2025-09-19,2025-10-17,29,味の素,食料品,False
28710,2025-09-19,2025-10-17,29,ニチレイ,食料品,False
29140,2025-09-19,2025-10-17,29,日本たばこ産業,食料品,False
31010,2025-09-19,2025-10-17,29,東洋紡,繊維製品,False
34010,2025-09-19,2025-10-17,29,帝人,繊維製品,False
34020,2025-09-19,2025-10-17,29,東レ,繊維製品,False
34070,2025-09-19,2025-10-17,29,旭化成,繊維製品,False
38610,2025-09-19,2025-10-17,29,王子ホールディングス,パルプ・紙,False
38630,2025-09-19,2025-10-17,29,日本製紙,パルプ・紙,False
40050,2025-09-19,2025-10-17,29,住友化学,化学,False
40210,2025-09-19,2025-10-17,29,日産化学,化学,False
40430,2025-09-19,2025-10-17,29,トクヤマ,化学,False
40610,2025-09-19,2025-10-17,29,デンカ,化学,False
40630,2025-09-19,2025-10-17,29,信越化学工業,化学,False
41830,2025-09-19,2025-10-17,29,三井化学,化学,False
41880,2025-09-19,2025-10-17,29,三菱ケミカルホールディングス,化学,False
42080,2025-09-19,2025-10-17,29,宇部興産,化学,False
42720,2025-09-19,2025-10-17,29,日本化薬,化学,False
44520,2025-09-19,2025-10-17,29,花王,化学,False
45020,2025-09-19,2025-10-17,29,武田薬品工業,医薬品,False
45030,2025-09-19,2025-10-17,29,アステラス製薬,医薬品,False
45060,2025-09-19,2025-10-17,29,大日本住友製薬,医薬品,False
45070,2025-09-19,2025-10-17,29,塩野義製薬,医薬品,False
45190,2025-09-19,2025-10-17,29,中外製薬,医薬品,False
45230,2025-09-19,2025-10-17,29,エーザイ,医薬品,False
45680,2025-09-19,2025-10-17,29,第一三共,医薬品,False
45780,2025-09-19,2025-10-17,29,大塚ホールディングス,医薬品,False
49010,2025-09-19,2025-10-17,29,富士フイルムホールディングス,化学,False
49110,2025-09-19,2025-10-17,29,資生堂,化学,False
50190,2025-09-19,2025-10-17,29,出光興産,石油・石炭製品,False
50200,2025-09-19,2025-10-17,29,ENEOSホールディングス,石油・石炭製品,False
51010,2025-09-19,2025-10-17,29,横浜ゴム,ゴム製品,False
51080,2025-09-19,2025-10-17,29,ブリヂストン,ゴム製品,False
52010,2025-09-19,2025-10-17,29,AGC,ガラス・土石製品,False
52320,2025-09-19,2025-10-17,29,住友大阪セメント,ガラス・土石製品,False
52330,2025-09-19,2025-10-17,29,太平洋セメント,ガラス・土石製品,False
53010,2025-09-19,2025-10-17,29,東海カーボン,ガラス・土石製品,False
53320,2025-09-19,2025-10-17,29,TOTO,ガラス・土石製品,False
53330,2025-09-19,2025-10-17,29,日本ガイシ,ガラス・土石製品,False
54010,2025-09-19,2025-10-17,29,日本製鉄,鉄鋼,False
54060,2025-09-19,2025-10-17,29,神戸製鋼所,鉄鋼,False
54110,2025-09-19,2025-10-17,29,JFEホールディングス,鉄鋼,False
55410,2025-09-19,2025-10-17,29,大平洋金属,非鉄金属,False
56310,2025-09-19,2025-10-17,29,日本製鋼所,鉄鋼,False
57030,2025-09-19,2025-10-17,29,日本軽金属ホールディングス,非鉄金属,False
57060,2025-09-19,2025-10-17,29,三井金属鉱業,非鉄金属,False
57070,2025-09-19,2025-10-17,29,東邦亜鉛,非鉄金属,False
57110,2025-09-19,2025-10-17,29,三菱マテリアル,非鉄金属,False
57130,2025-09-19,2025-10-17,29,住友金属鉱山,非鉄金属,False
57140,2025-09-19,2025-10-17,29,DOWA,非鉄金属,False
58010,2025-09-19,2025-10-17,29,古河電気工業,非鉄金属,False
58020,2025-09-19,2025-10-17,29,住友電気工業,非鉄金属,False
58030,2025-09-19,2025-10-17,29,フジクラ,非鉄金属,False
59010,2025-09-19,2025-10-17,29,東洋製罐グループホールディングス,金属製品,False
61030,2025-09-19,2025-10-17,29,オークマ,機械,False
61130,2025-09-19,2025-10-17,29,アマダ,機械,False
61780,2025-09-19,2025-10-17,29,日本郵政,サービス業,False
62690,2025-09-19,2025-10-17,29,奥村組,建設業,False
63010,2025-09-19,2025-10-17,29,コマツ,機械,False
63020,2025-09-19,2025-10-17,29,住友重機械工業,機械,False
63050,2025-09-19,2025-10-17,29,日立建機,機械,False
63260,2025-09-19,2025-10-17,29,クボタ,機械,False
63610,2025-09-19,2025-10-17,29,荏原製作所,機械,False
63670,2025-09-19,2025-10-17,29,ダイキン工業,機械,False
64710,2025-09-19,2025-10-17,29,日本精工,機械,False
64720,2025-09-19,2025-10-17,29,NTN,機械,False
64730,2025-09-19,2025-10-17,29,ジェイテクト,機械,False
64790,2025-09-19,2025-10-17,29,ミネベアミツミ,機械,False
65010,2025-09-19,2025-10-17,29,日立製作所,電気機器,False
65020,,,0,東芝,電気機器,True
65030,2025-09-19,2025-10-17,29,三菱電機,電気機器,False
65040,2025-09-19,2025-10-17,29,富士電機,電気機器,False
65060,2025-09-19,2025-10-17,29,安川電機,電気機器,False
66450,2025-09-19,2025-10-17,29,オムロン,電気機器,False
67010,2025-09-19,2025-10-17,29,日本電気,電気機器,False
67020,2025-09-19,2025-10-17,29,富士通,電気機器,False
67240,2025-09-19,2025-10-17,29,セイコーエプソン,電気機器,False
67520,2025-09-19,2025-10-17,29,パナソニックホールディングス,電気機器,False
67580,2025-09-19,2025-10-17,29,ソニーグループ,電気機器,False
67700,2025-09-19,2025-10-17,29,アルプスアルパイン,電気機器,False
68410,2025-09-19,2025-10-17,29,横河電機,電気機器,False
68570,2025-09-19,2025-10-17,29,アドバンテスト,電気機器,False
68610,2025-09-19,2025-10-17,29,キーエンス,電気機器,False
69020,2025-09-19,2025-10-17,29,デンソー,輸送用機器,False
69540,2025-09-19,2025-10-17,29,ファナック,電気機器,False
69710,2025-09-19,2025-10-17,29,京セラ,電気機器,False
69760,2025-09-19,2025-10-17,29,太陽誘電,電気機器,False
69810,2025-09-19,2025-10-17,29,村田製作所,電気機器,False
70030,2025-09-19,2025-10-17,29,三井E&Sホールディングス,輸送用機器,False
70040,2025-09-19,2025-10-17,29,日立Astemo,輸送用機器,False
70110,2025-09-19,2025-10-17,29,三菱重工業,機械,False
70120,2025-09-19,2025-10-17,29,川崎重工業,輸送用機器,False
70130,2025-09-19,2025-10-17,29,IHI,機械,False
72010,2025-09-19,2025-10-17,29,日産自動車,輸送用機器,False
72020,2025-09-19,2025-10-17,29,いすゞ自動車,輸送用機器,False
72030,2025-09-19,2025-10-17,29,トヨタ自動車,輸送用機器,False
72610,2025-09-19,2025-10-17,29,マツダ,輸送用機器,False
72670,2025-09-19,2025-10-17,29,ホンダ,輸送用機器,False
72690,2025-09-19,2025-10-17,29,スズキ,輸送用機器,False
