scenario,threshold_up,threshold_down,threshold_risk,fallback_max,fallback_min_passed_all,fallback_min_passed_ratio,selected_total,coverage,precision,avg_return
up0.18_down0.48_risk0.35_fbNone_minNone_ratioNone,0.18,0.48,0.35,,,,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_minNone_ratio0.4,0.18,0.48,0.35,,,0.4,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_minNone_ratio0.45,0.18,0.48,0.35,,,0.45,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_minNone_ratio0.5,0.18,0.48,0.35,,,0.5,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min2_ratioNone,0.18,0.48,0.35,,2.0,,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min2_ratio0.4,0.18,0.48,0.35,,2.0,0.4,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min2_ratio0.45,0.18,0.48,0.35,,2.0,0.45,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min2_ratio0.5,0.18,0.48,0.35,,2.0,0.5,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min3_ratioNone,0.18,0.48,0.35,,3.0,,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min3_ratio0.4,0.18,0.48,0.35,,3.0,0.4,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min3_ratio0.45,0.18,0.48,0.35,,3.0,0.45,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fbNone_min3_ratio0.5,0.18,0.48,0.35,,3.0,0.5,32,0.24166666666666667,0.15625,0.0001344092752635119
up0.18_down0.48_risk0.35_fb1_minNone_ratioNone,0.18,0.48,0.35,1.0,,,149,1.0,0.1891891891891892,0.0005135945507709777
up0.18_down0.48_risk0.35_fb1_minNone_ratio0.4,0.18,0.48,0.35,1.0,,0.4,149,1.0,0.1891891891891892,0.0005135945507709777
up0.18_down0.48_risk0.35_fb1_minNone_ratio0.45,0.18,0.48,0.35,1.0,,0.45,149,1.0,0.1891891891891892,0.0005135945507709777
up0.18_down0.48_risk0.35_fb1_minNone_ratio0.5,0.18,0.48,0.35,1.0,,0.5,149,1.0,0.1891891891891892,0.0005135945507709777
