trial,score,up,down,risk,fallback_min_passed_ratio,fallback_min_composite,fallback_min_up_prob,fallback_risk_margin,fallback_block_ratio,precision,average_return,coverage,fallback_ratio,selected_total
0,-0.13071428571428573,0.19536400353910002,0.4932297330818058,0.3877470754477173,0.573604298402903,-0.04390882140825586,0.1844970736208288,0.05545423447878145,0.20034062253678966,0.42857142857142855,0.0072848935852960804,0.35,0.25,8
1,-0.14814814814814814,0.19259205846872635,0.49527265456159225,0.3870239851043109,0.5959355277597074,-0.02488331838970348,0.1497923044989306,0.042562920235893774,0.3385738583339771,0.2,0.0005550574311310452,1.0,0.7407407407407407,27
2,-0.1496794871794872,0.19535100089063065,0.4821497719922344,0.4173869915853581,0.5681856545734691,-0.009282273541572461,0.14967591491554838,0.02963207392730747,0.3461094919167409,0.20833333333333334,0.0005254422080610832,1.0,0.7692307692307693,26
3,-0.3961538461538462,0.18838825796283928,0.4803692659047311,0.42880756752271604,0.4103153967063399,-0.045927947092022935,0.17243855287511645,0.021054715481295498,0.3073720586549096,0.3076923076923077,0.004116548143256597,0.5,0.5,14
4,-0.4286363636363637,0.20513843073976581,0.5150388213422046,0.4343127506440689,0.6242523320923841,-0.04122785650658067,0.17421837265223641,0.03475839798322697,0.2244741669470489,0.4,0.005595450076214248,0.45,0.8181818181818182,11
5,-0.13071428571428578,0.20024763804309398,0.4974961227496062,0.391155969908502,0.5712529969068034,-0.007011893193364108,0.1919550429641171,0.05075797886627107,0.20321520453900044,0.5,0.009224310865467988,0.35,0.42857142857142855,7
6,0.20522058823529404,0.18334853697047235,0.5007351953265903,0.4090648112376388,0.4320253445533613,-0.026016755666992953,0.17680061763819255,0.021466484223090547,0.1629638914112426,0.4375,0.013930308329221035,0.7,0.11764705882352941,17
7,-0.47666666666666674,0.21820632840850357,0.4867269409639673,0.4005294243800343,0.42867801568563985,-0.0005033029010329954,0.19441527231650235,0.049067261459256065,0.3458097037093018,0.4,0.005168742798856596,0.3,0.8333333333333334,6
8,-0.18380952380952387,0.1871945987766135,0.5090198939327754,0.39147352478363895,0.4138990325817679,-0.019174570732651372,0.16915792845281866,0.059640391119267916,0.30609859848923787,0.2,0.0003735930701462553,0.8,0.6190476190476191,21
9,-0.47666666666666674,0.20715045733614185,0.4909327592957199,0.3945513077757242,0.4429866985444981,-0.006155231449793311,0.18428266777111058,0.03906362637701738,0.33241197186801186,0.4,0.005168742798856596,0.3,0.8333333333333334,6
10,0.21066666666666667,0.18086145159405823,0.5036655136406982,0.4462263251741113,0.4832954978302517,-0.03371896422024684,0.16153439832660874,0.0209632549092182,0.15483741401440834,0.3333333333333333,0.00790994518066998,1.0,0.28,25
11,0.21866666666666668,0.1803605712789903,0.5036315272838002,0.4486442696987158,0.48439333002398866,-0.03294539517049545,0.1611416777850085,0.020005635594733152,0.15416990702677832,0.3333333333333333,0.00790994518066998,1.0,0.24,25
12,0.21866666666666668,0.18052815797075322,0.5050990695238788,0.4478984248397314,0.49016675079855637,-0.03613667837153602,0.16032073224471993,0.02758381818481695,0.15277616252766502,0.3333333333333333,0.00790994518066998,1.0,0.24,25
13,0.2155797101449275,0.1824688774723243,0.5064730762895473,0.44897551563749094,0.5076285021417426,-0.036470244944793895,0.15902964516423854,0.02761809833667897,0.15352008591425761,0.34782608695652173,0.008198820067446495,1.0,0.2916666666666667,24
14,0.20615384615384608,0.18077720004628142,0.5096684527167148,0.43930309376271626,0.48350365299149756,-0.049463828001189675,0.14422369188376472,0.026955051181830728,0.18145453647152038,0.32,0.007408392802439709,1.0,0.2692307692307692,26
15,-0.09618768328445748,0.1852268919209618,0.5198778183618146,0.44962658714829573,0.5286376010941158,-0.034821729428108954,0.16162827388379658,0.031663532016119066,0.2445794379175992,0.22580645161290322,-0.0005397320609935371,1.0,0.5454545454545454,33
16,-0.11473684210526319,0.18909090980292076,0.5009174775100106,0.4267670753852766,0.45889202184583266,-0.03041202988130385,0.15859911154291406,0.024882052190881694,0.18045400037399806,0.21052631578947367,-0.0005078959365620042,1.0,0.6,20
17,0.21866666666666668,0.18073242656282623,0.5043337277920217,0.44049220956961677,0.5302604419894867,-0.040001443821751574,0.14044873143337575,0.025192511259285906,0.17730222359801287,0.3333333333333333,0.00790994518066998,1.0,0.24,25
18,-0.17104347826086957,0.18635408056665131,0.49781764191374234,0.44097531678373264,0.4811598643103341,-0.02927123203059415,0.1664830325397298,0.03263301991039224,0.20665661554397202,0.17391304347826086,-0.0018580769516297034,0.9,0.64,25
19,-0.11473684210526319,0.19059014221182047,0.5109677796676527,0.43140170678363093,0.5099788955711405,-0.03929649171287405,0.15383394839669132,0.023819785477984835,0.15135600848325853,0.21052631578947367,-0.0005078959365620042,1.0,0.6,20
20,-0.12473684210526315,0.185735596506829,0.5027103198578454,0.3804051543496999,0.4594052887468083,-0.020294454570511954,0.1649349459375983,0.020077317318604578,0.17349403060928562,0.21052631578947367,-0.0008925742320016429,0.9,0.5,20
21,0.2155797101449275,0.18247171069473772,0.5049519123708806,0.44229709405199963,0.534703629006488,-0.04027503807340172,0.1400162916120763,0.026282334161840504,0.1756635592626143,0.34782608695652173,0.008198820067446495,1.0,0.2916666666666667,24
22,0.21866666666666668,0.18042583130075857,0.5059046802805299,0.4364344520450865,0.541870982698202,-0.03707540656525943,0.15460053329798737,0.024002384523829638,0.1902441515896604,0.3333333333333333,0.00790994518066998,1.0,0.24,25
23,0.23149999999999998,0.1802653905094055,0.5000195464543701,0.4441130419813967,0.5004119952394113,-0.043048108037093816,0.1470611523764181,0.028603315904878183,0.16471882318986567,0.375,0.008818044501572581,1.0,0.28,25
24,-0.04805194805194812,0.184457440502862,0.49908273619660515,0.4467244951494904,0.5025517989636565,-0.04599231063789609,0.15431846981162053,0.028577128398300324,0.15002776487271963,0.2857142857142857,0.005103601329185573,1.0,0.45454545454545453,22
25,-0.04805194805194812,0.18451647247491446,0.5005526894598764,0.44317522922405805,0.4670641433471931,-0.032399750272996956,0.1456001567499593,0.03112238974281257,0.16438638970810823,0.2857142857142857,0.005103601329185573,1.0,0.45454545454545453,22
26,-0.15192982456140353,0.18785626008014966,0.49682004180190026,0.4359392518275309,0.49711224946104227,-0.03648301790246309,0.16459969277268816,0.03480558982792823,0.16550856882159848,0.16666666666666666,-0.004828370138010025,0.9,0.5263157894736842,19
27,0.2138461538461538,0.1803467188078712,0.5075561544522954,0.449007922312201,0.517233570076918,-0.04923571641014643,0.1579783395185011,0.023884596506690493,0.19270965494774905,0.32,0.007408392802439709,1.0,0.23076923076923078,26
28,-0.11473684210526319,0.19074358313132342,0.5031099787246908,0.42317855015739914,0.47255844691140897,-0.042578438462501304,0.15000100929237303,0.028555763494425915,0.16824734869121458,0.21052631578947367,-0.0005078959365620042,1.0,0.6,20
29,-0.11016666666666663,0.18417813992748167,0.4937666996166762,0.4439523137388298,0.4927248739237277,-0.0446573168453238,0.16852499120775616,0.029825009835873953,0.217654694240483,0.2916666666666667,0.008252663166760363,0.8,0.48,25
30,-0.1247368421052632,0.19330385914482243,0.5122133868766952,0.4335043623795307,0.5519311587967748,-0.03819402553404828,0.1615869566628683,0.02295582982469073,0.1915531896642948,0.21052631578947367,-0.0006213840676384063,1.0,0.65,20
31,0.23384615384615381,0.18015836648950037,0.5042540487067336,0.43911887049890935,0.5234177252559076,-0.04126853389555895,0.1401984001829182,0.025911049695778995,0.17853041969300137,0.36,0.008275990961775594,1.0,0.23076923076923078,26
32,0.22094861660079052,0.18329188947561925,0.501621653626707,0.4385667327109512,0.5082879359424318,-0.04359672011743209,0.1448039246639139,0.026412455487162867,0.1651816964569125,0.36363636363636365,0.008294712935103947,1.0,0.30434782608695654,23
33,0.22094861660079052,0.18336356705574297,0.5020109113819232,0.43676974238974314,0.5209435438157586,-0.04436619660530113,0.14456572947802737,0.022564630432031982,0.18482772711710924,0.36363636363636365,0.008294712935103947,1.0,0.30434782608695654,23
34,-0.11428571428571427,0.18662035426615256,0.4956584223711674,0.4377067049156559,0.519671346482264,-0.04359820771160851,0.1455985722727688,0.025329972385294997,0.18654674862103246,0.2,-0.0019723077262472355,1.0,0.5714285714285714,21
35,-0.05625000000000008,0.18366449994806316,0.4988469661086851,0.43022810213700596,0.5540007002053444,-0.0475000839918479,0.14903729706953914,0.026355171931002456,0.20792837283080526,0.3,0.006474139287413202,1.0,0.53125,32
36,-0.11473684210526319,0.19003865204463313,0.5014752206952164,0.42528771996440695,0.5186628693093575,-0.0428875597383069,0.14346675210118642,0.022827518154898002,0.19837792557169334,0.21052631578947367,-0.0005078959365620042,1.0,0.6,20
37,-0.11428571428571427,0.18784900206309074,0.4990551047265229,0.4332243900501567,0.5803300630929658,-0.04614897119503073,0.14919779192074123,0.03405512090545782,0.1700326611222004,0.2,-0.004014839448191615,1.0,0.5714285714285714,21
38,0.21225296442687747,0.18357585786856945,0.49488226166106813,0.43765714003616907,0.5027310128964168,-0.041811655887863314,0.1432000441185276,0.02948040077146704,0.18329011784571025,0.36363636363636365,0.008786643433846431,1.0,0.34782608695652173,23
39,-0.1247368421052632,0.193646159005242,0.5019852238479535,0.44301202085126984,0.5412491649229754,-0.04990529653478068,0.1472992723326066,0.021924488661650844,0.19902429875857885,0.21052631578947367,-0.00014303626141041076,1.0,0.65,20
40,-0.1333333333333333,0.18595078411649796,0.49194509484212884,0.4210776797519948,0.5153479658216022,-0.04443090429151966,0.141578463678598,0.0374910047551663,0.21670544033871933,0.2,-0.0008389356586734209,1.0,0.6666666666666666,27
41,0.21066666666666667,0.1824910546815285,0.5072784014050615,0.4452382091845321,0.497428418902127,-0.04073325084321383,0.15178852282818073,0.0200151820166856,0.16263971417125808,0.3333333333333333,0.007664333219840942,1.0,0.28,25
42,0.22094861660079052,0.1822941171255162,0.5034119081185269,0.44001707882207247,0.5274784400775373,-0.04685831296388745,0.14687185571534958,0.02211116512879865,0.16229660427538267,0.36363636363636365,0.008294712935103947,1.0,0.30434782608695654,23
43,0.21225296442687747,0.18241244470828769,0.5001750097610492,0.4335281832328205,0.5248772626543583,-0.04701755551611686,0.14676345431112456,0.02209007375411043,0.1753274959213886,0.36363636363636365,0.008786643433846431,1.0,0.34782608695652173,23
44,-0.10476190476190478,0.1881957286020004,0.5016167271195733,0.4297804435225989,0.5604987972890405,-0.04416431599028154,0.14298855377237613,0.02607366980098686,0.16132292749101118,0.2,-0.00455596299680835,1.0,0.5238095238095238,21
45,0.2155797101449275,0.1823652947992918,0.5039204505158128,0.4396484206940776,0.5384536025131434,-0.04749465961693267,0.14681266702489695,0.022974983640189597,0.17058246856765832,0.34782608695652173,0.008198820067446495,1.0,0.2916666666666667,24
