threshold_up,threshold_down,threshold_risk,fallback_min_passed_ratio,fallback_min_composite,fallback_min_up_prob,fallback_risk_margin,fallback_block_ratio,precision,coverage,fallback_ratio,selected_total
0.18,0.5,0.35,0.5,-0.02,0.18,0.03,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.18,0.03,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.18,0.03,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.18,0.02,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.18,0.02,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.18,0.02,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.19,0.03,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.19,0.03,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.19,0.03,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.19,0.02,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.19,0.02,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.19,0.02,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.2,0.03,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.2,0.03,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.2,0.03,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.2,0.02,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.2,0.02,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.02,0.2,0.02,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.18,0.03,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.18,0.03,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.18,0.03,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.18,0.02,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.18,0.02,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.18,0.02,0.3,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.19,0.03,0.2,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.19,0.03,0.25,0.36363636363636365,0.45,0.0,12
0.18,0.5,0.35,0.5,-0.01,0.19,0.03,0.3,0.36363636363636365,0.45,0.0,12
