analysis_date,next_trade_date,code,company_name,sector,current_price,target_price,stop_loss_price,expected_return,volume,holding_period,prediction_probability,downside_probability,risk_score,composite_score,passed_up,passed_down,passed_risk,passed_all_filters,future_return
2025-09-11,2025-09-12,68570,銘柄68570,Unknown,13700.0,13837.0,13563.0,1.0,15427400.0,1,0.18367074569825156,0.49341184684350264,0.35101253025088985,-0.2034401898238557,True,True,True,True,0.018248175182481674
2025-09-11,2025-09-12,69200,銘柄69200,Unknown,16600.0,16766.0,16434.0,1.0,5962600.0,1,0.1840351545932974,0.49261063948080813,0.388023338520314,-0.2174795005552323,True,True,True,True,0.005120481927710863
2025-09-12,2025-09-16,94320,銘柄94320,Unknown,161.5,163.115,159.885,1.0,151163700.0,1,0.20198479982292158,0.20165585358768276,0.009981396787946831,0.09716431431390148,True,True,True,True,-0.003095975232198178
2025-09-12,2025-09-16,94340,銘柄94340,Unknown,229.4,231.69400000000002,227.106,1.0,60943100.0,1,0.16605797965655075,0.21206261510128913,0.012309906481769628,0.05510270951319834,False,True,True,False,0.0017436791630340842
2025-09-16,2025-09-17,94320,銘柄94320,Unknown,161.0,162.61,159.39,1.0,135660000.0,1,0.1807512758760875,0.20165585358768276,0.011228606591844372,0.07543190644550837,True,True,True,True,0.0
2025-09-16,2025-09-17,94340,銘柄94340,Unknown,229.8,232.098,227.502,1.0,58200700.0,1,0.16644152376250274,0.21206261510128913,0.013146207634401268,0.05515173315809767,False,True,True,False,0.0
2025-09-17,2025-09-18,94320,銘柄94320,Unknown,161.0,162.61,159.39,1.0,151268500.0,1,0.2031663270113315,0.21206261510128913,0.011078545008441118,0.09270360145731049,True,True,True,True,-0.006832298136645876
2025-09-17,2025-09-18,94340,銘柄94340,Unknown,229.8,232.098,227.502,1.0,54006600.0,1,0.18616576643249144,0.20165585358768276,0.012419042158591109,0.08037022277521362,True,True,True,True,-0.00435161009573537
2025-09-18,2025-09-19,94340,銘柄94340,Unknown,228.8,231.08800000000002,226.512,1.0,59750800.0,1,0.17182987324888668,0.20165585358768276,0.01391367414263201,0.0654364767979925,False,True,True,False,0.0004370629370629153
2025-09-18,2025-09-19,69200,銘柄69200,Unknown,17055.0,17225.55,16884.45,1.0,6862500.0,1,0.1847417757028792,0.48333713425571817,0.2920790851668156,-0.17375842549170611,True,True,True,True,0.12489006156552329
2025-09-19,2025-09-22,94340,銘柄94340,Unknown,228.9,231.18900000000002,226.611,1.0,101176800.0,1,0.19523663405616706,0.21794672067300203,0.011502714371146036,0.08166218797120764,True,True,True,True,-0.013106159895150737
2025-09-19,2025-09-22,94320,銘柄94320,Unknown,158.0,159.58,156.42,1.0,318034200.0,1,0.1821793512872315,0.2257970166715414,0.0074930924836024634,0.06628360595801983,True,True,True,True,0.0012658227848101333
2025-09-22,2025-09-24,94320,銘柄94320,Unknown,158.2,159.78199999999998,156.618,1.0,140157800.0,1,0.17094719127550734,0.20165585358768276,0.006563609988872731,0.06749382048611687,False,True,True,False,-0.0018963337547407422
2025-09-22,2025-09-24,80350,銘柄80350,Unknown,26600.0,26866.0,26334.0,1.0,9058500.0,1,0.1858929784364856,0.4781551083000758,0.37501603557147895,-0.20319098994214388,True,True,True,True,0.024624060150375993
2025-09-24,2025-09-25,61460,銘柄61460,Unknown,48810.0,49298.1,48321.9,1.0,4112400.0,1,0.20599221240633214,0.4659189975263036,0.37120097691831844,-0.17544767712414705,True,True,True,True,0.02950215119852495
2025-09-24,2025-09-25,80350,銘柄80350,Unknown,27255.0,27527.55,26982.45,1.0,7667800.0,1,0.1803141954352801,0.46389638427281243,0.35159664295787424,-0.1922726538842758,True,True,True,True,0.01706108970831033
2025-09-25,2025-09-26,94340,銘柄94340,Unknown,226.9,229.169,224.631,1.0,65815300.0,1,0.19597981803896847,0.20165585358768276,0.010420176531704881,0.09098382063244513,True,True,True,True,0.011458792419568153
2025-09-25,2025-09-26,57110,銘柄57110,Unknown,2869.5,2898.195,2840.805,1.0,4167800.0,1,0.18781483827976603,0.35294117647058826,0.32581871952718333,-0.11898323776640143,True,True,True,True,-0.02979613173026663
2025-09-26,2025-09-29,94320,銘柄94320,Unknown,159.1,160.691,157.509,1.0,202832600.0,1,0.16817079180073777,0.20165585358768276,0.006671612277663487,0.06467422009583099,False,True,True,False,-0.023255813953488302
2025-09-29,2025-09-30,94320,銘柄94320,Unknown,155.4,156.954,153.846,1.0,196957400.0,1,0.16016892021974302,0.2257970166715414,0.00726899802154947,0.04436281267535254,False,True,True,False,-0.0045045045045045695
2025-09-30,2025-10-01,94320,銘柄94320,Unknown,154.7,156.24699999999999,153.153,1.0,163886200.0,1,0.1736065521159835,0.20165585358768276,0.008431750413882947,0.06940592515658894,False,True,True,False,0.0006464124111185132
2025-10-01,2025-10-02,94320,銘柄94320,Unknown,154.8,156.348,153.252,1.0,185343700.0,1,0.17813786845316124,0.21289710763394973,0.008554476540093841,0.06826752402014884,False,True,True,False,-0.012273901808785515
2025-10-02,2025-10-03,94320,銘柄94320,Unknown,152.9,154.429,151.371,1.0,182195000.0,1,0.1643872004353614,0.21794672067300203,0.008687071007392997,0.05193901169590318,False,True,True,False,0.011118378024852715
2025-10-03,2025-10-06,94320,銘柄94320,Unknown,154.6,156.146,153.054,1.0,127111200.0,1,0.1744708678534563,0.20165585358768276,0.009032875545717018,0.07002979084132813,False,True,True,False,0.010349288486416475
2025-10-03,2025-10-06,95010,銘柄95010,Unknown,697.5,704.475,690.525,1.0,130111600.0,1,0.2382830246946265,0.2938775510204081,0.19432707172370964,0.013613420494938605,True,True,True,True,0.03741935483870962
2025-10-06,2025-10-07,94320,銘柄94320,Unknown,156.2,157.762,154.63799999999998,1.0,195874900.0,1,0.1701699930350239,0.20165585358768276,0.008359874815994397,0.06599811631478475,False,True,True,False,-0.007042253521126751
2025-10-06,2025-10-07,58030,銘柄58030,Unknown,14500.0,14645.0,14355.0,1.0,9056000.0,1,0.18440264439792114,0.49107963956733286,0.32881292170882354,-0.1926623440692747,True,True,True,True,0.05448275862068974
2025-10-07,2025-10-08,94320,銘柄94320,Unknown,155.1,156.65099999999998,153.549,1.0,240888100.0,1,0.16824645350620976,0.21206261510128913,0.00808730941026502,0.05898022219145919,False,True,True,False,-0.008381689232752954
2025-10-08,2025-10-09,94320,銘柄94320,Unknown,153.8,155.33800000000002,152.262,1.0,207731700.0,1,0.17090563593477712,0.20165585358768276,0.008960541566939406,0.06649349251415998,False,True,True,False,-0.005201560468140465
2025-10-09,2025-10-10,94340,銘柄94340,Unknown,216.3,218.46300000000002,214.137,1.0,60014700.0,1,0.167259345993624,0.20165585358768276,0.010995620634104858,0.06203317094614067,False,True,True,False,-0.006472491909385147
2025-10-09,2025-10-10,58030,銘柄58030,Unknown,16785.0,16952.85,16617.15,1.0,13748300.0,1,0.19234756765801722,0.4933807324099613,0.396862980422045,-0.2130879907157814,True,True,True,True,-0.013404825737265424
2025-10-10,2025-10-14,94320,銘柄94320,Unknown,152.8,154.328,151.27200000000002,1.0,215395800.0,1,0.1980674387702135,0.21206261510128913,0.0069836709872008245,0.0892426628246886,True,True,True,True,
2025-10-10,2025-10-14,94340,銘柄94340,Unknown,214.9,217.049,212.751,1.0,61246900.0,1,0.1680381763528018,0.21206261510128913,0.010454133320797018,0.057825215473838426,False,True,True,False,
