selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,weighted_score
177,175,0.25142857142857145,0.0012552553268030055,-0.0007447446731969955,0.0,44,99,120,0.18,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.2506337194551838
175,173,0.24277456647398843,0.001424624647994128,-0.0005753753520058727,0.0,42,106,120,0.18,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.24549212727879133
171,169,0.24260355029585798,0.0008375530198225737,-0.0011624469801774272,0.0,41,105,120,0.18,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.2452133960834616
132,131,0.2366412213740458,0.0011171473366138219,-0.0008828526633861792,0.0,31,119,120,0.2,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.24171987702541164
150,148,0.23648648648648649,0.0010990173517723772,-0.0009009826482276236,0.00021853146853145766,35,118,120,0.19,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.24162159709742365
169,167,0.23353293413173654,0.00119905372454562,-0.0008009462754543811,0.0,39,108,120,0.18,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.23987947659640568
130,129,0.23255813953488372,0.0012782174258346678,-0.0007217825741653329,0.0,30,119,120,0.2,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.2393183489486807
131,130,0.23076923076923078,0.0013152468495936432,-0.0006847531504063575,-0.0002277904328017999,30,120,120,0.2,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.2382561125164166
146,144,0.22916666666666666,0.0010662150074225193,-0.0009337849925774816,0.00021853146853145766,33,118,120,0.19,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.23721986450222676
166,164,0.22560975609756098,0.002323877106243387,0.00032387710624338624,0.0,37,110,120,0.18,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.23546301679040965
130,129,0.2248062015503876,0.001189691732253273,-0.0008103082677467276,-0.0004555808656035998,29,120,120,0.2,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.23464062844990857
145,143,0.22377622377622378,0.00085274033896512,-0.0011472596610348806,0.0,32,120,120,0.19,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.23392155636742384
142,140,0.22142857142857142,0.001441353368162996,-0.0005586466318370047,0.00021853146853145766,31,118,120,0.19,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.2326895488675918
129,128,0.21875,0.000930710018597204,-0.0010692899814027969,-0.0005345388990594668,28,120,120,0.2,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.23092921300557923
144,142,0.21830985915492956,0.0007354226160951464,-0.001264577383904854,0.0,31,120,120,0.19,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.23060654227778632
