selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,fallback_max_per_sector,fallback_min_composite,fallback_min_up_prob,fallback_risk_margin,fallback_block_ratio,weighted_score
35,33,0.3333333333333333,0.00658994792437345,0.00658994792437345,0.0,11,13,20,0.18,0.52,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.3019769843773121
35,33,0.3333333333333333,0.00658994792437345,0.00658994792437345,0.0,11,13,20,0.18,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.3019769843773121
35,33,0.3333333333333333,0.00658994792437345,0.00658994792437345,0.0,11,13,20,0.18,0.52,0.45,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.3019769843773121
35,33,0.3333333333333333,0.00658994792437345,0.00658994792437345,0.0,11,13,20,0.18,0.52,0.45,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.3019769843773121
35,33,0.3333333333333333,0.00658994792437345,0.00658994792437345,0.0,11,13,20,0.18,0.52,0.45,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.3019769843773121
35,33,0.3333333333333333,0.006345538733829218,0.006345538733829218,0.0,11,15,20,0.18,0.52,0.4,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.3019036616201488
35,33,0.3333333333333333,0.006345538733829218,0.006345538733829218,0.0,11,15,20,0.18,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.3019036616201488
35,33,0.3333333333333333,0.006345538733829218,0.006345538733829218,0.0,11,15,20,0.18,0.52,0.4,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.3019036616201488
35,33,0.3333333333333333,0.006345538733829218,0.006345538733829218,0.0,11,15,20,0.18,0.52,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.3019036616201488
35,33,0.3333333333333333,0.006345538733829218,0.006345538733829218,0.0,11,15,20,0.18,0.52,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.3019036616201488
33,31,0.3225806451612903,0.0067339361109355735,0.0067339361109355735,0.0,10,15,20,0.18,0.5,0.4,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2955685679300549
33,31,0.3225806451612903,0.0067339361109355735,0.0067339361109355735,0.0,10,15,20,0.18,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2955685679300549
33,31,0.3225806451612903,0.0067339361109355735,0.0067339361109355735,0.0,10,15,20,0.18,0.5,0.4,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2955685679300549
33,31,0.3225806451612903,0.0067339361109355735,0.0067339361109355735,0.0,10,15,20,0.18,0.5,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2955685679300549
33,31,0.3225806451612903,0.0067339361109355735,0.0067339361109355735,0.0,10,15,20,0.18,0.5,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2955685679300549
33,31,0.3225806451612903,0.0067339361109355735,0.0067339361109355735,0.0,10,15,20,0.18,0.5,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2955685679300549
33,31,0.3225806451612903,0.0067339361109355735,0.0067339361109355735,0.0,10,15,20,0.18,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2955685679300549
