selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,weighted_score
132,131,0.2366412213740458,0.0011171473366138219,-0.0008828526633861792,0.0,31,119,120,0.2,0.52,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3180557548880071
132,131,0.2366412213740458,0.0011171473366138219,-0.0008828526633861792,0.0,31,119,120,0.2,0.52,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3180557548880071
132,131,0.2366412213740458,0.0011171473366138219,-0.0008828526633861792,0.0,31,119,120,0.2,0.52,0.45,1.0,0.5,0.4,1.0,120,0.55,0.3180557548880071
150,148,0.23648648648648649,0.0010990173517723772,-0.0009009826482276236,0.00021853146853145766,35,118,120,0.19,0.52,0.45,1.0,0.5,0.4,1.0,120,0.45,0.317972948448775
150,148,0.23648648648648649,0.0010990173517723772,-0.0009009826482276236,0.00021853146853145766,35,118,120,0.19,0.52,0.45,1.0,0.5,0.4,1.0,120,0.5,0.317972948448775
150,148,0.23648648648648649,0.0010990173517723772,-0.0009009826482276236,0.00021853146853145766,35,118,120,0.19,0.52,0.45,1.0,0.5,0.4,1.0,120,0.55,0.317972948448775
130,129,0.23255813953488372,0.0012782174258346678,-0.0007217825741653329,0.0,30,119,120,0.2,0.52,0.4,1.0,0.5,0.4,1.0,120,0.45,0.31606253499519227
130,129,0.23255813953488372,0.0012782174258346678,-0.0007217825741653329,0.0,30,119,120,0.2,0.52,0.4,1.0,0.5,0.4,1.0,120,0.5,0.31606253499519227
130,129,0.23255813953488372,0.0012782174258346678,-0.0007217825741653329,0.0,30,119,120,0.2,0.52,0.4,1.0,0.5,0.4,1.0,120,0.55,0.31606253499519227
131,130,0.23076923076923078,0.0013152468495936432,-0.0006847531504063575,-0.0002277904328017999,30,120,120,0.2,0.5,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3151791894394935
131,130,0.23076923076923078,0.0013152468495936432,-0.0006847531504063575,-0.0002277904328017999,30,120,120,0.2,0.5,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3151791894394935
131,130,0.23076923076923078,0.0013152468495936432,-0.0006847531504063575,-0.0002277904328017999,30,120,120,0.2,0.5,0.45,1.0,0.5,0.4,1.0,120,0.55,0.3151791894394935
146,144,0.22916666666666666,0.0010662150074225193,-0.0009337849925774816,0.00021853146853145766,33,118,120,0.19,0.52,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3143031978355601
146,144,0.22916666666666666,0.0010662150074225193,-0.0009337849925774816,0.00021853146853145766,33,118,120,0.19,0.52,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3143031978355601
146,144,0.22916666666666666,0.0010662150074225193,-0.0009337849925774816,0.00021853146853145766,33,118,120,0.19,0.52,0.4,1.0,0.5,0.4,1.0,120,0.55,0.3143031978355601
130,129,0.2248062015503876,0.001189691732253273,-0.0008103082677467276,-0.0004555808656035998,29,120,120,0.2,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3121600082948698
130,129,0.2248062015503876,0.001189691732253273,-0.0008103082677467276,-0.0004555808656035998,29,120,120,0.2,0.5,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3121600082948698
