selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,fallback_max_per_sector,weighted_score
25,24,0.4166666666666667,0.009249578824489518,0.009249578824489518,0.0009561175979643233,10,5,20,0.18,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.35277487364734694
27,26,0.38461538461538464,0.008594238634294009,0.008594238634294009,0.0009561175979643233,10,5,20,0.18,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.33334750235951904
25,24,0.375,0.008818044501572581,0.008818044501572581,0.0003232062055592566,9,7,20,0.18,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.3276454133504718
25,24,0.375,0.008818044501572581,0.008818044501572581,0.0003232062055592566,9,7,20,0.18,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.3276454133504718
24,23,0.2608695652173913,0.00034703806980162583,0.00034703806980162583,-0.003095975232198178,6,11,20,0.18,0.48,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.2566258505513753
24,23,0.2608695652173913,0.00034703806980162583,0.00034703806980162583,-0.003095975232198178,6,11,20,0.18,0.48,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.2566258505513753
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,13,20,0.19,0.48,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,13,20,0.19,0.48,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,16,20,0.2,0.48,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,16,20,0.2,0.48,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,16,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,16,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,16,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
