selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days
10,8,0.25,-0.0009596545292307607,-0.0029596545292307607,-0.005837026188762806,2,0,5,0.14,0.5,0.4,1.0,0.5,0.4,1.0,5
10,8,0.25,-0.0009596545292307607,-0.0029596545292307607,-0.005837026188762806,2,0,5,0.14,0.5,0.45,1.0,0.5,0.4,1.0,5
10,8,0.25,-0.0009596545292307607,-0.0029596545292307607,-0.005837026188762806,2,0,5,0.14,0.5,0.5,1.0,0.5,0.4,1.0,5
8,8,0.25,-0.00321757632073362,-0.005217576320733621,-0.006508973227419834,2,0,4,0.13,0.48,0.4,1.0,0.5,0.4,0.8,5
8,8,0.25,-0.00321757632073362,-0.005217576320733621,-0.006508973227419834,2,0,4,0.13,0.48,0.45,1.0,0.5,0.4,0.8,5
8,8,0.25,-0.00321757632073362,-0.005217576320733621,-0.006508973227419834,2,0,4,0.13,0.48,0.5,1.0,0.5,0.4,0.8,5
10,8,0.25,-0.006085703123351591,-0.008085703123351592,-0.007706879406274958,2,0,5,0.12,0.48,0.4,1.0,0.5,0.4,1.0,5
10,8,0.25,-0.006085703123351591,-0.008085703123351592,-0.007706879406274958,2,0,5,0.12,0.48,0.45,1.0,0.5,0.4,1.0,5
10,8,0.25,-0.006085703123351591,-0.008085703123351592,-0.007706879406274958,2,0,5,0.12,0.48,0.5,1.0,0.5,0.4,1.0,5
10,8,0.25,-0.00800146630957159,-0.010001466309571591,-0.009248648084584588,2,0,5,0.12,0.5,0.4,1.0,0.5,0.4,1.0,5
10,8,0.25,-0.00800146630957159,-0.010001466309571591,-0.009248648084584588,2,0,5,0.12,0.5,0.45,1.0,0.5,0.4,1.0,5
10,8,0.25,-0.00800146630957159,-0.010001466309571591,-0.009248648084584588,2,0,5,0.12,0.5,0.5,1.0,0.5,0.4,1.0,5
6,6,0.16666666666666666,-0.0081335481524518,-0.010133548152451802,-0.006757372715255949,1,0,3,0.14,0.48,0.4,1.0,0.5,0.4,0.6,5
6,6,0.16666666666666666,-0.0081335481524518,-0.010133548152451802,-0.006757372715255949,1,0,3,0.14,0.48,0.45,1.0,0.5,0.4,0.6,5
6,6,0.16666666666666666,-0.0081335481524518,-0.010133548152451802,-0.006757372715255949,1,0,3,0.14,0.48,0.5,1.0,0.5,0.4,0.6,5
10,8,0.125,-0.004324502423840429,-0.00632450242384043,-0.006757372715255949,1,0,5,0.13,0.5,0.4,1.0,0.5,0.4,1.0,5
10,8,0.125,-0.004324502423840429,-0.00632450242384043,-0.006757372715255949,1,0,5,0.13,0.5,0.45,1.0,0.5,0.4,1.0,5
10,8,0.125,-0.004324502423840429,-0.00632450242384043,-0.006757372715255949,1,0,5,0.13,0.5,0.5,1.0,0.5,0.4,1.0,5
9,8,0.125,-0.004366884772415175,-0.006366884772415176,-0.005837026188762806,1,0,5,0.15,0.5,0.4,1.0,0.5,0.4,1.0,5
9,8,0.125,-0.004366884772415175,-0.006366884772415176,-0.005837026188762806,1,0,5,0.15,0.5,0.45,1.0,0.5,0.4,1.0,5
9,8,0.125,-0.004366884772415175,-0.006366884772415176,-0.005837026188762806,1,0,5,0.15,0.5,0.5,1.0,0.5,0.4,1.0,5
