selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,weighted_score
37,35,0.2571428571428571,0.0018936678721916606,-0.0001063321278083402,0.0,9,0,20,0.14,0.5,0.35,1.0,0.5,0.4,1.0,20,0.3285395289330861
39,37,0.24324324324324326,0.0003585457557816624,-0.0016414542442183386,-0.0013071895424835445,9,0,20,0.14,0.5,0.4,1.0,0.5,0.4,1.0,20,0.3211291853483561
39,37,0.24324324324324326,0.0003585457557816624,-0.0016414542442183386,-0.0013071895424835445,9,0,20,0.14,0.5,0.45,1.0,0.5,0.4,1.0,20,0.3211291853483561
40,38,0.23684210526315788,-8.611233090894721e-05,-0.0020861123309089485,-0.001573088028291203,9,0,20,0.14,0.5,0.5,1.0,0.5,0.4,1.0,20,0.3177952189323063
40,38,0.21052631578947367,-0.00012849091108498096,-0.002128490911084982,-0.0016017616486121433,8,0,20,0.13,0.5,0.35,1.0,0.5,0.4,1.0,20,0.30462461062141133
40,38,0.21052631578947367,-0.00048325513546018515,-0.0024832551354601862,-0.001573088028291203,8,0,20,0.13,0.5,0.4,1.0,0.5,0.4,1.0,20,0.3045181813540988
40,38,0.21052631578947367,-0.00048325513546018515,-0.0024832551354601862,-0.001573088028291203,8,0,20,0.13,0.5,0.45,1.0,0.5,0.4,1.0,20,0.3045181813540988
40,38,0.21052631578947367,-0.00048325513546018515,-0.0024832551354601862,-0.001573088028291203,8,0,20,0.13,0.5,0.5,1.0,0.5,0.4,1.0,20,0.3045181813540988
40,38,0.21052631578947367,-0.0018091166191976547,-0.003809116619197656,-0.004235113120355349,8,0,20,0.12,0.5,0.35,1.0,0.5,0.4,1.0,20,0.30412042290897756
40,38,0.21052631578947367,-0.0018091166191976547,-0.003809116619197656,-0.004235113120355349,8,0,20,0.12,0.5,0.4,1.0,0.5,0.4,1.0,20,0.30412042290897756
40,38,0.21052631578947367,-0.0018091166191976547,-0.003809116619197656,-0.004235113120355349,8,0,20,0.12,0.5,0.45,1.0,0.5,0.4,1.0,20,0.30412042290897756
40,38,0.21052631578947367,-0.0018091166191976547,-0.003809116619197656,-0.004235113120355349,8,0,20,0.12,0.5,0.5,1.0,0.5,0.4,1.0,20,0.30412042290897756
38,37,0.1891891891891892,-0.0006557174933042774,-0.002655717493304278,-0.0018389865140988615,7,0,20,0.15,0.5,0.5,1.0,0.5,0.4,1.0,20,0.29379787934660334
37,36,0.19444444444444445,-0.00021453015871657674,-0.002214530158716578,-0.001573088028291203,7,0,19,0.15,0.5,0.4,1.0,0.5,0.4,0.95,20,0.28655786317460724
37,36,0.19444444444444445,-0.00021453015871657674,-0.002214530158716578,-0.001573088028291203,7,0,19,0.15,0.5,0.45,1.0,0.5,0.4,0.95,20,0.28655786317460724
33,33,0.18181818181818182,-0.0018305267205971701,-0.0038305267205971704,-0.004204089432447877,6,0,19,0.13,0.48,0.45,1.0,0.5,0.4,0.95,20,0.2797599328929118
31,30,0.2,-0.00015642052365123874,-0.0021564205236512396,-9.15583226515082e-05,6,0,18,0.15,0.5,0.35,1.0,0.5,0.4,0.9,20,0.27935307384290464
34,34,0.17647058823529413,-0.0022631130387696504,-0.004263113038769651,-0.0042778497640916235,6,0,19,0.13,0.48,0.5,1.0,0.5,0.4,0.95,20,0.27695636020601616
38,36,0.1388888888888889,-0.0036395002658448083,-0.005639500265844809,-0.005094723966786618,5,0,20,0.12,0.48,0.4,1.0,0.5,0.4,1.0,20,0.267752594364691
31,31,0.1935483870967742,-0.0007492384314736827,-0.0027492384314736834,-0.0018389865140988615,6,0,17,0.13,0.48,0.4,1.0,0.5,0.4,0.85,20,0.265949422018945
39,37,0.13513513513513514,-0.0039881208407803945,-0.005988120840780395,-0.005837837837837867,5,0,20,0.12,0.48,0.5,1.0,0.5,0.4,1.0,20,0.2657711313153335
39,37,0.13513513513513514,-0.004014341090881243,-0.006014341090881245,-0.005837837837837867,5,0,20,0.12,0.48,0.45,1.0,0.5,0.4,1.0,20,0.2657632652403032
35,33,0.15151515151515152,-0.002972062788698417,-0.0049720627886984175,-0.00435161009573537,5,0,18,0.12,0.48,0.35,1.0,0.5,0.4,0.9,20,0.25426595692096626
