selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,weighted_score
90,89,0.2808988764044944,0.003019197415735371,0.0010191974157353699,0.0004370629370629153,25,0,53,0.16,0.5,0.4,1.0,0.5,0.4,0.8833333333333333,60,0.37766530978651836
95,93,0.27956989247311825,0.0031917315753331467,0.0011917315753331454,0.0004466279589101507,26,0,53,0.16,0.5,0.45,1.0,0.5,0.4,0.8833333333333333,60,0.3771854764618472
77,76,0.32894736842105265,0.003705548073712682,0.0017055480737126808,0.0005375817355832702,25,0,47,0.17,0.5,0.45,1.0,0.5,0.4,0.7833333333333333,60,0.36709061179053487
81,80,0.25,0.002369190546033538,0.0003691905460335365,0.0003819301613419146,20,0,52,0.16,0.5,0.35,1.0,0.5,0.4,0.8666666666666667,60,0.3601107571638101
68,68,0.3235294117647059,0.004573909436178822,0.00257390943617882,0.0005375817355832702,22,0,45,0.17,0.5,0.4,1.0,0.5,0.4,0.75,60,0.355183937536736
48,48,0.4166666666666667,0.004421672770157907,0.0024216727701579055,0.0,20,0,35,0.18,0.5,0.45,1.0,0.5,0.4,0.5833333333333334,60,0.34239316849771406
41,41,0.4146341463414634,0.005902071671304569,0.0039020716713045675,0.0,17,0,33,0.18,0.5,0.4,1.0,0.5,0.4,0.55,60,0.3320242800379768
56,56,0.30357142857142855,0.006434626327322551,0.00443462632732255,0.000441845447986533,17,0,41,0.17,0.5,0.35,1.0,0.5,0.4,0.6833333333333333,60,0.3277589593267682
58,58,0.3103448275862069,0.0023461109654616713,0.0003461109654616697,0.00047766644893865173,18,0,39,0.16,0.48,0.45,1.0,0.5,0.4,0.65,60,0.31924176432412127
55,55,0.2727272727272727,0.0003646853916099424,-0.0016353146083900592,0.0003223726627981094,15,0,38,0.16,0.48,0.4,1.0,0.5,0.4,0.6333333333333333,60,0.29860031470839205
41,41,0.2926829268292683,0.0008333373189985461,-0.0011666626810014557,-0.0012368583797154331,12,0,32,0.17,0.48,0.45,1.0,0.5,0.4,0.5333333333333333,60,0.27672317192740686
48,48,0.22916666666666666,0.001971123198679541,-2.8876801320459947e-05,0.00032458502420951163,11,0,35,0.16,0.48,0.35,1.0,0.5,0.4,0.5833333333333334,60,0.26665800362627057
39,39,0.2564102564102564,-0.0011908661602834359,-0.0031908661602834377,-0.002512562814070196,10,0,31,0.17,0.48,0.4,1.0,0.5,0.4,0.5166666666666667,60,0.2566068427160175
33,33,0.21212121212121213,0.0009347164159960428,-0.0010652835840039582,-0.002512562814070196,7,0,26,0.17,0.48,0.35,1.0,0.5,0.4,0.43333333333333335,60,0.21452889977328365
