iter	Logloss
0	0.6764890417
1	0.6615910258
2	0.6484316822
3	0.6364273524
4	0.6258039332
5	0.6162533326
6	0.6077441855
7	0.6000390372
8	0.5931681229
9	0.5869281454
10	0.5815145103
11	0.576495842
12	0.5720262172
13	0.5681157399
14	0.5643955031
15	0.5611806158
16	0.5582332195
17	0.5556738273
18	0.5532381459
19	0.55118035
20	0.5491946402
21	0.5474104559
22	0.5458440024
23	0.5443887039
24	0.5431465464
25	0.5419656335
26	0.5409218577
27	0.5399081084
28	0.5390515281
29	0.5382336305
30	0.53750288
31	0.536853788
32	0.536224508
33	0.5357034684
34	0.5352046519
35	0.5346772617
36	0.5342378173
37	0.5338127241
38	0.5333997189
39	0.5330471242
40	0.5327382703
41	0.5324460039
42	0.5321787696
43	0.5318968013
44	0.5316529417
45	0.5314234644
46	0.5311866399
47	0.5309332385
48	0.5307205991
49	0.5305397689
50	0.5303803845
51	0.5302053407
52	0.5300410024
53	0.5298922384
54	0.5297708509
55	0.5296522982
56	0.529532128
57	0.5294043079
58	0.5292739956
59	0.5291312583
60	0.5289988915
61	0.5289052276
62	0.5287865939
63	0.5286743312
64	0.5285684962
65	0.5284655286
66	0.5283748674
67	0.5282680554
68	0.5281789561
69	0.5280970979
70	0.5280363065
71	0.5279587506
72	0.5278852655
73	0.5278029949
74	0.5277168382
75	0.5276587308
76	0.5275618853
77	0.5274827919
78	0.5274307085
79	0.5273623049
80	0.5272852019
81	0.5272254138
82	0.5271509102
83	0.5270513416
84	0.5269963983
85	0.5269395102
86	0.5268940821
87	0.5267838344
88	0.5267334464
89	0.5266629908
90	0.5265973716
91	0.5265305772
92	0.5264697562
93	0.5264086731
94	0.5263662641
95	0.5262914788
96	0.5262377619
97	0.526166505
98	0.5261023222
99	0.5260269917
100	0.5259665581
101	0.5259058145
102	0.525847267
103	0.5258079748
104	0.5257338897
105	0.5256819572
106	0.5256148651
107	0.525554793
108	0.5255046236
109	0.525467755
110	0.5253866469
111	0.5253321063
112	0.5252617254
113	0.5251805075
114	0.525123766
115	0.5250663588
116	0.5250113228
117	0.52496584
118	0.5249066168
119	0.5248477351
120	0.5247937876
121	0.5247167667
122	0.524668073
123	0.5245960671
124	0.5245305719
125	0.5244597392
126	0.5243818585
127	0.5242932717
128	0.5242206348
129	0.5241655533
130	0.5240917037
131	0.5240286465
132	0.5239602373
133	0.523891056
134	0.5238226256
135	0.5237683302
136	0.5237243289
137	0.5236794458
138	0.5236254622
139	0.5235684738
140	0.5235040806
141	0.5234507055
142	0.523393506
143	0.5233295008
144	0.5232820933
145	0.5232298564
146	0.5231848819
147	0.52314572
148	0.5231069886
149	0.5230720939
150	0.5230232178
151	0.5229749494
152	0.5229303579
153	0.5228888057
154	0.5228300273
155	0.5227845857
156	0.5227139675
157	0.522668042
158	0.5226191318
159	0.522571306
160	0.5225187497
161	0.5224433974
162	0.5223926124
163	0.5223456407
164	0.5222861967
165	0.5222192408
166	0.5221578939
167	0.5221016929
168	0.5220724228
169	0.5220004539
170	0.5219579954
171	0.5219212623
172	0.521869706
173	0.5218215031
174	0.5217676337
175	0.5217089611
176	0.5216514385
177	0.5216142161
178	0.5215470298
179	0.5215077686
180	0.5214543751
181	0.5214078417
182	0.5213694063
183	0.5213330293
184	0.5212936346
185	0.5212374022
186	0.5211665447
187	0.5211148867
188	0.521076476
189	0.5210209496
190	0.5209596415
191	0.5209129173
192	0.5208589738
193	0.5208043558
194	0.5207535972
195	0.5207014335
196	0.5206598393
197	0.5205892602
198	0.5205336451
199	0.5204965495
