iter	Passed	Remaining
0	62	12507
1	91	9090
2	126	8331
3	155	7607
4	187	7323
5	232	7529
6	261	7201
7	289	6938
8	319	6777
9	348	6625
10	375	6450
11	402	6302
12	432	6214
13	460	6120
14	488	6027
15	516	5944
16	543	5851
17	571	5780
18	600	5723
19	629	5663
20	655	5590
21	682	5522
22	711	5476
23	740	5427
24	765	5361
25	793	5311
26	820	5256
27	849	5216
28	878	5179
29	906	5139
30	935	5098
31	962	5051
32	988	5004
33	1017	4965
34	1043	4917
35	1070	4874
36	1095	4827
37	1121	4779
38	1145	4728
39	1171	4684
40	1197	4642
41	1222	4597
42	1254	4579
43	1278	4532
44	1305	4497
45	1330	4454
46	1427	4646
47	1461	4628
48	1493	4603
49	1521	4565
50	1546	4518
51	1569	4467
52	1594	4423
53	1618	4377
54	1643	4333
55	1668	4290
56	1691	4244
57	1717	4205
58	1742	4164
59	1767	4125
60	1792	4083
61	1815	4041
62	1840	4001
63	1868	3969
64	1896	3939
65	1920	3898
66	1947	3865
67	1972	3828
68	1996	3789
69	2019	3751
70	2042	3711
71	2069	3679
72	2095	3645
73	2122	3614
74	2203	3673
75	2238	3652
76	2265	3618
77	2290	3582
78	2316	3547
79	2343	3515
80	2370	3482
81	2397	3449
82	2422	3415
83	2451	3385
84	2481	3356
85	2505	3321
86	2529	3285
87	2555	3252
88	2579	3216
89	2603	3182
90	2630	3150
91	2655	3116
92	2681	3084
93	2709	3054
94	2734	3022
95	2760	2991
96	2787	2960
97	2816	2931
98	2840	2898
99	2869	2869
100	2898	2841
101	2928	2813
102	2955	2783
103	2981	2752
104	3006	2720
105	3032	2689
106	3057	2657
107	3083	2627
108	3110	2597
109	3137	2566
110	3164	2537
111	3192	2508
112	3219	2478
113	3246	2449
114	3271	2417
115	3298	2388
116	3325	2359
117	3351	2328
118	3377	2298
119	3404	2269
120	3431	2240
121	3457	2210
122	3483	2180
123	3510	2151
124	3537	2122
125	3562	2091
126	3588	2062
127	3617	2034
128	3644	2005
129	3671	1976
130	3700	1949
131	3728	1920
132	3753	1890
133	3780	1862
134	3808	1833
135	3833	1803
136	3860	1775
137	3886	1746
138	3912	1717
139	3939	1688
140	3967	1659
141	3993	1631
142	4020	1602
143	4047	1574
144	4074	1545
145	4101	1516
146	4128	1488
147	4155	1459
148	4182	1431
149	4207	1402
150	4235	1374
151	4261	1345
152	4287	1317
153	4312	1288
154	4338	1259
155	4367	1231
156	4393	1203
157	4419	1174
158	4445	1146
159	4471	1117
160	4496	1089
161	4522	1060
162	4548	1032
163	4574	1004
164	4600	975
165	4626	947
166	4652	919
167	4678	891
168	4704	862
169	4731	835
170	4766	808
171	4795	780
172	4823	752
173	4853	725
174	4880	697
175	4908	669
176	4933	641
177	4958	612
178	4984	584
179	5010	556
180	5035	528
181	5062	500
182	5088	472
183	5115	444
184	5142	416
185	5175	389
186	5206	361
187	5233	334
188	5258	306
189	5285	278
190	5313	250
191	5338	222
192	5364	194
193	5392	166
194	5426	139
195	5478	111
196	5516	84
197	5556	56
198	5585	28
199	5616	0
