Date,Code,CompanyName,Open,High,Low,Close,Volume,TurnoverValue,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2025-08-01,4478,フリー,4115.0,4195.0,4100.0,4195.0,188500.0,783385000.0,4115.0,4195.0,4100.0,4195.0,188500.0
2025-08-04,4478,フリー,4195.0,4310.0,4125.0,4255.0,439100.0,1862446000.0,4195.0,4310.0,4125.0,4255.0,439100.0
2025-08-05,4478,フリー,4300.0,4330.0,4235.0,4255.0,255200.0,1089580500.0,4300.0,4330.0,4235.0,4255.0,255200.0
2025-08-06,4478,フリー,4215.0,4230.0,3915.0,3925.0,525300.0,2103741000.0,4215.0,4230.0,3915.0,3925.0,525300.0
2025-08-07,4478,フリー,3960.0,4030.0,3945.0,4005.0,293100.0,1167278000.0,3960.0,4030.0,3945.0,4005.0,293100.0
2025-08-08,4478,フリー,4025.0,4065.0,3945.0,3955.0,256700.0,1023383500.0,4025.0,4065.0,3945.0,3955.0,256700.0
2025-08-12,4478,フリー,3985.0,4005.0,3925.0,3995.0,324700.0,1289146000.0,3985.0,4005.0,3925.0,3995.0,324700.0
2025-08-13,4478,フリー,4070.0,4110.0,3990.0,4050.0,548700.0,2219566500.0,4070.0,4110.0,3990.0,4050.0,548700.0
2025-08-14,4478,フリー,3645.0,3650.0,3350.0,3465.0,4027100.0,13929870000.0,3645.0,3650.0,3350.0,3465.0,4027100.0
2025-08-15,4478,フリー,3525.0,3570.0,3440.0,3470.0,1887800.0,6591912000.0,3525.0,3570.0,3440.0,3470.0,1887800.0
2025-08-18,4478,フリー,3550.0,3715.0,3540.0,3545.0,1282000.0,4610316500.0,3550.0,3715.0,3540.0,3545.0,1282000.0
2025-08-19,4478,フリー,3515.0,3525.0,3435.0,3440.0,845300.0,2921643500.0,3515.0,3525.0,3435.0,3440.0,845300.0
2025-08-20,4478,フリー,3475.0,3525.0,3390.0,3430.0,648900.0,2238304500.0,3475.0,3525.0,3390.0,3430.0,648900.0
2025-08-21,4478,フリー,3430.0,3470.0,3320.0,3335.0,543800.0,1844406500.0,3430.0,3470.0,3320.0,3335.0,543800.0
2025-08-22,4478,フリー,3325.0,3330.0,3255.0,3300.0,700100.0,2303327000.0,3325.0,3330.0,3255.0,3300.0,700100.0
2025-08-25,4478,フリー,3330.0,3430.0,3315.0,3315.0,501000.0,1684163000.0,3330.0,3430.0,3315.0,3315.0,501000.0
2025-08-26,4478,フリー,3320.0,3320.0,3235.0,3260.0,542000.0,1769347000.0,3320.0,3320.0,3235.0,3260.0,542000.0
2025-08-27,4478,フリー,3235.0,3240.0,3150.0,3180.0,536300.0,1705036000.0,3235.0,3240.0,3150.0,3180.0,536300.0
2025-08-28,4478,フリー,3155.0,3175.0,3120.0,3140.0,401100.0,1259281500.0,3155.0,3175.0,3120.0,3140.0,401100.0
2025-08-29,4478,フリー,3110.0,3160.0,3075.0,3125.0,932400.0,2897780000.0,3110.0,3160.0,3075.0,3125.0,932400.0
2025-09-01,4478,フリー,3140.0,3300.0,3140.0,3220.0,838700.0,2696366000.0,3140.0,3300.0,3140.0,3220.0,838700.0
2025-09-02,4478,フリー,3220.0,3285.0,3125.0,3160.0,582600.0,1855941500.0,3220.0,3285.0,3125.0,3160.0,582600.0
2025-09-03,4478,フリー,3165.0,3175.0,3080.0,3110.0,517900.0,1612319000.0,3165.0,3175.0,3080.0,3110.0,517900.0
2025-09-04,4478,フリー,3080.0,3230.0,3080.0,3190.0,571700.0,1820964000.0,3080.0,3230.0,3080.0,3190.0,571700.0
2025-09-05,4478,フリー,3190.0,3205.0,3120.0,3180.0,346400.0,1095127500.0,3190.0,3205.0,3120.0,3180.0,346400.0
2025-08-01,4519,中外製薬,7400.0,7518.0,7340.0,7340.0,1927900.0,14274845800.0,7400.0,7518.0,7340.0,7340.0,1927900.0
2025-08-04,4519,中外製薬,7300.0,7374.0,7229.0,7303.0,1388200.0,10132865800.0,7300.0,7374.0,7229.0,7303.0,1388200.0
2025-08-05,4519,中外製薬,7308.0,7358.0,7261.0,7358.0,1668900.0,12226980100.0,7308.0,7358.0,7261.0,7358.0,1668900.0
2025-08-06,4519,中外製薬,7289.0,7477.0,7288.0,7413.0,1313300.0,9737603200.0,7289.0,7477.0,7288.0,7413.0,1313300.0
2025-08-07,4519,中外製薬,7405.0,7416.0,7298.0,7400.0,1668400.0,12309735700.0,7405.0,7416.0,7298.0,7400.0,1668400.0
2025-08-08,4519,中外製薬,6500.0,6525.0,5942.0,6092.0,17434200.0,106685018600.0,6500.0,6525.0,5942.0,6092.0,17434200.0
2025-08-12,4519,中外製薬,6100.0,6210.0,6089.0,6179.0,8274100.0,50992638000.0,6100.0,6210.0,6089.0,6179.0,8274100.0
2025-08-13,4519,中外製薬,6220.0,6388.0,6176.0,6255.0,7392300.0,46390145600.0,6220.0,6388.0,6176.0,6255.0,7392300.0
2025-08-14,4519,中外製薬,6355.0,6355.0,6131.0,6131.0,4337600.0,26871472000.0,6355.0,6355.0,6131.0,6131.0,4337600.0
2025-08-15,4519,中外製薬,6150.0,6243.0,6119.0,6243.0,3582900.0,22224073900.0,6150.0,6243.0,6119.0,6243.0,3582900.0
2025-08-18,4519,中外製薬,6288.0,6303.0,6221.0,6260.0,2911000.0,18224345500.0,6288.0,6303.0,6221.0,6260.0,2911000.0
2025-08-19,4519,中外製薬,6305.0,6545.0,6301.0,6539.0,6506200.0,41982552300.0,6305.0,6545.0,6301.0,6539.0,6506200.0
2025-08-20,4519,中外製薬,6448.0,6460.0,6323.0,6435.0,5053900.0,32333414100.0,6448.0,6460.0,6323.0,6435.0,5053900.0
