target_code,target_name,api_code,api_name,sector,match_method,similarity_score
41510,協和キリン（株）,41510,協和キリン,,直接コード一致(5桁),0.0
45020,武田薬品工業（株）,45020,武田薬品工業,,直接コード一致(5桁),0.0
45030,アステラス製薬（株）,45030,アステラス製薬,,直接コード一致(5桁),0.0
45060,住友ファーマ（株）,45060,住友ファーマ,,直接コード一致(5桁),0.0
45070,塩野義製薬（株）,45070,塩野義製薬,,直接コード一致(5桁),0.0
45190,中外製薬（株）,45190,中外製薬,,直接コード一致(5桁),0.0
45230,エーザイ（株）,45230,エーザイ,,直接コード一致(5桁),0.0
45680,第一三共（株）,45680,第一三共,,直接コード一致(5桁),0.0
45780,大塚ホールディングス（株）,45780,大塚ホールディングス,,直接コード一致(5桁),0.0
64790,ミネベアミツミ（株）,64790,ミネベアミツミ,,直接コード一致(5桁),0.0
65010,（株）日立製作所,65010,日立製作所,,直接コード一致(5桁),0.0
65030,三菱電機（株）,65030,三菱電機,,直接コード一致(5桁),0.0
65040,富士電機（株）,65040,富士電機,,直接コード一致(5桁),0.0
65060,（株）安川電機,65060,安川電機,,直接コード一致(5桁),0.0
65260,（株）ソシオネクスト,65260,ソシオネクスト,,直接コード一致(5桁),0.0
65940,ニデック（株）,65940,ニデック,,直接コード一致(5桁),0.0
66450,オムロン（株）,66450,オムロン,,直接コード一致(5桁),0.0
66740,（株）ジーエス・ユアサ コーポレーション,66740,ジーエス・ユアサ　コーポレーション,,直接コード一致(5桁),0.0
67010,日本電気（株）,67010,日本電気,,直接コード一致(5桁),0.0
67020,富士通（株）,67020,富士通,,直接コード一致(5桁),0.0
67230,ルネサスエレクトロニクス（株）,67230,ルネサスエレクトロニクス,,直接コード一致(5桁),0.0
67240,セイコーエプソン（株）,67240,セイコーエプソン,,直接コード一致(5桁),0.0
67520,パナソニック ホールディングス（株）,67520,パナソニック　ホールディングス,,直接コード一致(5桁),0.0
67530,シャープ（株）,67530,シャープ,,直接コード一致(5桁),0.0
