target_code,target_name,api_code,api_name,sector,match_method,similarity_score
13320,（株）ニッスイ,13320,ニッスイ,Unknown,直接コード一致(5桁),0.0
13330,マルハニチロ（株）,13330,マルハニチロ,Unknown,直接コード一致(5桁),0.0
16050,（株）ＩＮＰＥＸ,16050,ＩＮＰＥＸ,Unknown,直接コード一致(5桁),0.0
17210,コムシスホールディングス（株）,17210,コムシスホールディングス,Unknown,直接コード一致(5桁),0.0
18010,大成建設（株）,18010,大成建設,Unknown,直接コード一致(5桁),0.0
18020,（株）大林組,18020,大林組,Unknown,直接コード一致(5桁),0.0
18030,清水建設（株）,18030,清水建設,Unknown,直接コード一致(5桁),0.0
18080,（株）長谷工コーポレーション,18080,長谷工コーポレーション,Unknown,直接コード一致(5桁),0.0
18120,鹿島建設（株）,18120,鹿島建設,Unknown,直接コード一致(5桁),0.0
19250,大和ハウス工業（株）,19250,大和ハウス工業,Unknown,直接コード一致(5桁),0.0
19280,積水ハウス（株）,19280,積水ハウス,Unknown,直接コード一致(5桁),0.0
19630,日揮ホールディングス（株）,19630,日揮ホールディングス,Unknown,直接コード一致(5桁),0.0
20020,（株）日清製粉グループ本社,20020,日清製粉グループ本社,Unknown,直接コード一致(5桁),0.0
22690,明治ホールディングス（株）,22690,明治ホールディングス,Unknown,直接コード一致(5桁),0.0
22820,日本ハム（株）,22820,日本ハム,Unknown,直接コード一致(5桁),0.0
24130,エムスリー（株）,24130,エムスリー,Unknown,直接コード一致(5桁),0.0
24320,（株）ディー・エヌ・エー,24320,ディー・エヌ・エー,Unknown,直接コード一致(5桁),0.0
25010,サッポロホールディングス（株）,25010,サッポロホールディングス,Unknown,直接コード一致(5桁),0.0
25020,アサヒグループホールディングス（株）,25020,アサヒグループホールディングス,Unknown,直接コード一致(5桁),0.0
25030,キリンホールディングス（株）,25030,キリンホールディングス,Unknown,直接コード一致(5桁),0.0
27680,双日（株）,27680,双日,Unknown,直接コード一致(5桁),0.0
28010,キッコーマン（株）,28010,キッコーマン,Unknown,直接コード一致(5桁),0.0
28020,味の素（株）,28020,味の素,Unknown,直接コード一致(5桁),0.0
28710,（株）ニチレイ,28710,ニチレイ,Unknown,直接コード一致(5桁),0.0
29140,日本たばこ産業（株）,29140,日本たばこ産業,Unknown,直接コード一致(5桁),0.0
30860,Ｊ． フロント リテイリング（株）,30860,Ｊ．フロント　リテイリング,Unknown,直接コード一致(5桁),0.0
30920,（株）ＺＯＺＯ,30920,ＺＯＺＯ,Unknown,直接コード一致(5桁),0.0
30990,（株）三越伊勢丹ホールディングス,30990,三越伊勢丹ホールディングス,Unknown,直接コード一致(5桁),0.0
31010,東洋紡（株）,31010,東洋紡,Unknown,直接コード一致(5桁),0.0
32890,東急不動産ホールディングス（株）,32890,東急不動産ホールディングス,Unknown,直接コード一致(5桁),0.0
