analysis_date,selected_count,valid_count,hit_count,precision,avg_return,coverage,fallback_count,passed_all_count,fallback_ratio,passed_all_ratio
2025-09-11,2,2,1,0.5,0.011684328555096268,1.0,0,2,0.0,1.0
2025-09-12,1,1,0,0.0,-0.003095975232198178,1.0,0,1,0.0,1.0
2025-09-16,1,1,0,0.0,0.0,1.0,0,1,0.0,1.0
2025-09-17,2,2,0,0.0,-0.005591954116190623,1.0,0,2,0.0,1.0
2025-09-18,1,1,1,1.0,0.12489006156552329,1.0,0,1,0.0,1.0
2025-09-19,2,2,0,0.0,-0.005920168555170302,1.0,0,2,0.0,1.0
2025-09-22,1,1,1,1.0,0.024624060150375993,1.0,0,1,0.0,1.0
2025-09-24,2,2,2,1.0,0.02328162045341764,1.0,0,2,0.0,1.0
2025-09-25,2,2,1,0.5,-0.009168669655349238,1.0,0,2,0.0,1.0
2025-09-26,1,1,0,0.0,-0.0232558139534883,1.0,1,0,1.0,0.0
2025-09-29,1,1,0,0.0,-0.015326975476839255,1.0,0,1,0.0,1.0
2025-09-30,1,1,0,0.0,0.0006464124111185132,1.0,1,0,1.0,0.0
2025-10-01,1,1,0,0.0,-0.012273901808785515,1.0,1,0,1.0,0.0
2025-10-02,1,1,1,1.0,0.0111183780248527,1.0,1,0,1.0,0.0
2025-10-03,1,1,1,1.0,0.03741935483870962,1.0,0,1,0.0,1.0
2025-10-06,1,1,1,1.0,0.05448275862068974,1.0,0,1,0.0,1.0
2025-10-07,1,1,0,0.0,-0.0083816892327529,1.0,1,0,1.0,0.0
2025-10-08,1,1,1,1.0,0.01597773425420068,1.0,0,1,0.0,1.0
2025-10-09,1,1,0,0.0,-0.013404825737265424,1.0,0,1,0.0,1.0
2025-10-10,1,0,0,,,1.0,0,1,0.0,1.0
