target_return,threshold,count,hit_rate,avg_return,avg_net_return
0.008,0.3,529183,0.30927108391615,0.0009652824697327905,-0.0010347175302672109
0.008,0.25,544348,0.3028118042134811,0.0006398512115246269,-0.0013601487884753736
0.008,0.2,548836,0.3007528660656371,0.0004967392535545369,-0.0015032607464454649
0.008,0.18,549296,0.30053195362791646,0.0004775443818691609,-0.00152245561813084
0.008,0.16,549414,0.30047104733406865,0.00047117072904420877,-0.0015288292709557927
0.008,0.14,549443,0.30045518825428663,0.0004694681518134428,-0.001530531848186558
0.008,0.1,549446,0.3004535477553754,0.0004692942323268068,-0.0015307057676731942
0.008,0.12,549446,0.3004535477553754,0.0004692942323268068,-0.0015307057676731942
0.01,0.3,529183,0.26700215237450936,0.0009652824697327905,-0.0010347175302672109
0.01,0.25,544348,0.26113809548303657,0.0006398512115246269,-0.0013601487884753736
0.01,0.2,548836,0.2592960374319469,0.0004967392535545369,-0.0015032607464454649
0.01,0.18,549296,0.2591007398561067,0.0004775443818691609,-0.00152245561813084
0.01,0.16,549414,0.2590487319216474,0.00047117072904420877,-0.0015288292709557927
0.01,0.14,549443,0.2590350591417126,0.0004694681518134428,-0.001530531848186558
0.01,0.1,549446,0.25903364479857893,0.0004692942323268068,-0.0015307057676731942
0.01,0.12,549446,0.25903364479857893,0.0004692942323268068,-0.0015307057676731942
