target_return,threshold,count,hit_rate,avg_return,avg_net_return
0.01,0.3,529639,0.2670233876281769,0.0009675494957684867,-0.001032450504231515
0.01,0.31,524308,0.26908229513949816,0.0010625828728866055,-0.0009374171271133963
0.01,0.32,517865,0.271539880084578,0.0011683776223060723,-0.0008316223776939287
0.01,0.33,510327,0.27445539820546433,0.0012941674428227502,-0.0007058325571772509
0.01,0.34,501755,0.2777012685473986,0.0014295784646192002,-0.000570421535380802
0.01,0.35,492073,0.2813993045747277,0.0015840713352258755,-0.0004159286647741261
0.01,0.36,480995,0.28578259649268706,0.001754301610505218,-0.00024569838949478373
0.01,0.37,468301,0.29079374163198457,0.0019470616028791207,-5.293839712088034e-05
0.01,0.38,454136,0.29647726672186303,0.0021644895642763473,0.00016448956427634622
0.01,0.39,438191,0.30305734257435685,0.0024078212873065116,0.0004078212873065097
0.01,0.4,420843,0.310141786842124,0.0026807561472092785,0.0006807561472092768
0.01,0.41,402137,0.31802097295200393,0.0029892907195812096,0.0009892907195812083
0.01,0.42,381919,0.3266294685522323,0.0033189863712900047,0.0013189863712900034
0.01,0.43,361158,0.3360136006955405,0.0036901961356775393,0.0016901961356775381
0.01,0.44,339317,0.34631627652018615,0.004106793853051402,0.0021067938530513995
0.01,0.45,317055,0.3574490230401665,0.004559447139302439,0.002559447139302435
0.01,0.46,294338,0.36970082014554695,0.005050916318204421,0.0030509163182044193
0.01,0.47,271381,0.38242544614398205,0.005576925797510509,0.003576925797510508
0.01,0.48,248745,0.39639389736477115,0.006132094541515367,0.004132094541515364
0.01,0.49,225786,0.4112389607858769,0.006756056106730205,0.004756056106730204
0.01,0.5,204003,0.42648392425601583,0.0074210953103610085,0.005421095310361006
0.01,0.51,183485,0.44316974139575444,0.008151232570612716,0.0061512325706127155
0.01,0.52,164124,0.46080402622407446,0.008919055912112875,0.006919055912112874
0.01,0.53,146416,0.47861572505737077,0.009729584564963546,0.007729584564963546
0.01,0.54,129894,0.49716692071997165,0.010622080241716014,0.00862208024171601
0.01,0.55,114916,0.515863761356121,0.011536780324235966,0.009536780324235966
0.01,0.56,101507,0.5343966425960771,0.012479052118605524,0.01047905211860552
0.01,0.57,89333,0.5549125183302923,0.013513012388559224,0.011513012388559223
0.01,0.58,78561,0.5733888316085589,0.014557231360612367,0.012557231360612363
0.01,0.59,69136,0.5915297384864615,0.015597759430237956,0.01359775943023795
0.01,0.6,60692,0.6108218546101628,0.0166906729650696,0.014690672965069596
